date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:10	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-d84f12f81887d021;gz%22	https://www.tarjetas.cool/robots.txt		(from )
12:33:11	8202/8202	---M-Z	200	added ('OK')	text/html	etag:%22200a-64a05c39-9a60c84bc886a39c;gz%22	https://www.tarjetas.cool/modelos/cumple/spiderman/	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/index.html	(from )
12:33:11	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/invitacionSpiderMan/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:11	88585/88585	---MCZ	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/invitacionSpiderMan/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:11	9942/9942	---M-Z	200	added ('OK')	text/css	etag:%2226d6-6415d976-e8e9df704ef73c9b;gz%22	https://www.tarjetas.cool/modelos/cumple/spiderman/css/styles.css?v=2	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/css/styles5e1f.css	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:12	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-62f13ac5-7305083aa904d02b;;;%22	https://www.tarjetas.cool/favicon-32x32.png	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/favicon-32x32.png	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:12	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-62f13ac5-91bc429e33d6d6cd;;;%22	https://www.tarjetas.cool/favicon-16x16.png	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/favicon-16x16.png	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:13	60792/60792	---M--	200	added ('OK')	image/png	etag:%22ed78-6415d976-94c733d5e5bde3aa;;;%22	https://www.tarjetas.cool/modelos/cumple/spiderman/img/1.png	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/img/1.png	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:13	37976/37976	---M--	200	added ('OK')	image/jpeg	etag:%229458-6415d977-2c10bba232fccc63;;;%22	https://www.tarjetas.cool/modelos/cumple/spiderman/img/foto1.jpg	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/img/foto1.jpg	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:13	655454/655454	---M--	200	added ('OK')	image/gif	etag:%22a005e-6415d979-f83a6a7e44e8ff29;;;%22	https://www.tarjetas.cool/modelos/cumple/spiderman/img/logo_animado.gif	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/img/logo_animado.gif	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:13	16836/16836	---M--	200	added ('OK')	image/png	etag:%2241c4-6415d977-f79862d189019e82;;;%22	https://www.tarjetas.cool/modelos/cumple/spiderman/img/cinta.png	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/img/cinta.png	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:14	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Mis%20lugares%20Web/invitacionSpiderMan/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:14	1553/1553	---M-Z	200	added ('OK')	application/x-javascript	etag:%22611-6415d977-6c374b2823bed8c1;gz%22	https://www.tarjetas.cool/modelos/cumple/spiderman/js/card.js?v=2	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/js/card5e1f.js	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:14	112440/112440	---M--	200	added ('OK')	font/woff2	etag:W/%221b738-OihLBhh3Hynajra+kA6ZQ5JT3OA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionSpiderMan/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:33:15	150592/150592	---M--	200	added ('OK')	font/woff	etag:W/%2224c40-p35qLzNfP8tPKTB5SQfIjtfefKE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionSpiderMan/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:33:15	8104/8104	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%221fa8-6415d976-d3a2995d68bb0437;gz%22	https://www.tarjetas.cool/modelos/cumple/spiderman/fonts/Mightyspidey-pmaa.ttf	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/fonts/Mightyspidey-pmaa.ttf	(from https://www.tarjetas.cool/modelos/cumple/spiderman/css/styles.css?v=2)
12:33:15	1486232/1486232	---M--	200	added ('OK')	audio/mpeg	etag:%2216ad98-6415d979-93153c71c857981;;;%22	https://www.tarjetas.cool/modelos/cumple/spiderman/sounds/audio.mp3?v=1	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/sounds/audio3860.mp3	(from https://www.tarjetas.cool/modelos/cumple/spiderman/)
12:33:16	178503/178503	---M--	200	added ('OK')	image/png	etag:%222b947-6415d977-d7f812c4f8af165a;;;%22	https://www.tarjetas.cool/modelos/cumple/spiderman/img/fondo_tarjeta.png?v=1	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/img/fondo_tarjeta3860.png	(from https://www.tarjetas.cool/modelos/cumple/spiderman/css/styles.css?v=2)
12:33:16	122127/122127	---M--	200	added ('OK')	image/jpeg	etag:%221dd0f-6415d977-d2c12311297eb428;;;%22	https://www.tarjetas.cool/modelos/cumple/spiderman/img/fondo.jpg	C:/Mis%20lugares%20Web/invitacionSpiderMan/www.tarjetas.cool/modelos/cumple/spiderman/img/fondo.jpg	(from https://www.tarjetas.cool/modelos/cumple/spiderman/css/styles.css?v=2)
12:33:16	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
